prefix,company
364829,HYUNDAI
364830,HYUNDAI
365405,HYUNDAI
365431,HYUNDAI
365573,HYUNDAI
365574,HYUNDAI
365645,HYUNDAI
365646,HYUNDAI
370299,HYUNDAI
370300,HYUNDAI
370301,HYUNDAI
370302,KOOKMIN
37466402,HYUNDAI
37466403,HYUNDAI
37466404,HYUNDAI
374725,KOOKMIN
375144,KOOKMIN
375145,KOOKMIN
376293,SAMSUNG
376364,KOOKMIN
376365,KOOKMIN
377177,SHINHAN
377178,SHINHAN
377981,SHINHAN
377982,SHINHAN
377983,SHINHAN
377985,SHINHAN
377988,SHINHAN
377989,SAMSUNG
379183,SAMSUNG
379184,SAMSUNG
379194,SAMSUNG
379907,SHINHAN
379985,SHINHAN
400696,KOOKMIN
400772,SHINHAN
400904,SHINHAN
400905,SHINHAN
400906,SHINHAN
400907,SAMSUNG
400908,SAMSUNG
400909,SAMSUNG
400910,SAMSUNG
400911,SAMSUNG
400912,SAMSUNG
400913,SAMSUNG
400933,SHINHAN
400951,SAMSUNG
401584,SAMSUNG
401762,HYUNDAI
401787,HYUNDAI
401844,SHINHAN
401895,HYUNDAI
402017,HYUNDAI
402072,HYUNDAI
402515,HYUNDAI
402516,HYUNDAI
402517,HYUNDAI
402596,HYUNDAI
402822,HYUNDAI
402857,HYUNDAI
402858,HYUNDAI
402859,HYUNDAI
402860,HYUNDAI
402952,SHINHAN
403290,KOOKMIN
403293,HYUNDAI
403302,HYUNDAI
403965,SHINHAN
404577,HYUNDAI
404613,HYUNDAI
404619,HYUNDAI
404726,SAMSUNG
404727,SAMSUNG
404728,SAMSUNG
404933,HYUNDAI
404947,HYUNDAI
405692,HYUNDAI
405753,SHINHAN
407423,KOOKMIN
407424,HYUNDAI
407455,SHINHAN
407467,KOOKMIN
407469,HYUNDAI
407558,KOOKMIN
407589,SAMSUNG
407785,HYUNDAI
407912,KOOKMIN
408907,SHINHAN
411133,KOOKMIN
411896,KOOKMIN
411897,KOOKMIN
412994,WOORI
413253,SAMSUNG
413526,HYUNDAI
413700,HYUNDAI
413720,SAMSUNG
413780,HYUNDAI
413837,HYUNDAI
414296,SAMSUNG
414743,KOOKMIN
414744,HYUNDAI
414749,HYUNDAI
416455,HYUNDAI
417233,HYUNDAI
417256,HYUNDAI
418143,HYUNDAI
418163,SHINHAN
418164,SHINHAN
418173,HYUNDAI
419696,HYUNDAI
419697,HYUNDAI
419698,HYUNDAI
419699,HYUNDAI
421685,SHINHAN
421733,HYUNDAI
422015,SHINHAN
422016,SHINHAN
422018,SHINHAN
422155,SHINHAN
423174,SHINHAN
423210,HYUNDAI
423217,HYUNDAI
425863,KOOKMIN
426066,HYUNDAI
426578,SAMSUNG
426586,KOOKMIN
427329,HYUNDAI
428465,HYUNDAI
429212,SHINHAN
429498,HYUNDAI
429499,HYUNDAI
429612,SHINHAN
430305,SHINHAN
430969,SHINHAN
430972,SHINHAN
431236,SHINHAN
432768,SAMSUNG
433010,SAMSUNG
433028,HYUNDAI
433087,HYUNDAI
433276,KOOKMIN
433283,KOOKMIN
433290,KOOKMIN
434976,SHINHAN
435661,HYUNDAI
436420,SHINHAN
436422,SHINHAN
437368,SHINHAN
437436,SHINHAN
437437,SHINHAN
437438,SHINHAN
437539,HYUNDAI
437719,HYUNDAI
438265,HYUNDAI
438676,SHINHAN
438901,HYUNDAI
441657,HYUNDAI
442136,HYUNDAI
442660,SAMSUNG
443567,KOOKMIN
443569,KOOKMIN
443579,KOOKMIN
445090,SHINHAN
445096,HYUNDAI
446603,HYUNDAI
448135,KOOKMIN
448168,HYUNDAI
448494,HYUNDAI
448523,SHINHAN
449914,SHINHAN
451099,SHINHAN
451245,SAMSUNG
451281,SHINHAN
451842,SHINHAN
451843,SHINHAN
451844,SHINHAN
451845,SHINHAN
451846,SHINHAN
452387,KOOKMIN
452388,KOOKMIN
452389,KOOKMIN
454303,HYUNDAI
454478,SHINHAN
457318,KOOKMIN
457492,HYUNDAI
457493,HYUNDAI
457905,KOOKMIN
457972,KOOKMIN
457973,KOOKMIN
457993,KOOKMIN
458525,HYUNDAI
458532,SAMSUNG
458967,HYUNDAI
459860,SHINHAN
459904,SHINHAN
459906,SHINHAN
459907,SHINHAN
459910,KOOKMIN
459911,KOOKMIN
459913,KOOKMIN
459927,SHINHAN
459936,SHINHAN
460074,KOOKMIN
460205,KOOKMIN
460561,SHINHAN
461723,SHINHAN
461724,SHINHAN
461954,SHINHAN
462898,HYUNDAI
463235,KOOKMIN
463732,SAMSUNG
464562,HYUNDAI
464942,SAMSUNG
464955,HYUNDAI
464960,HYUNDAI
464965,SHINHAN
465887,SHINHAN
466571,HYUNDAI
467069,SAMSUNG
467077,SAMSUNG
467309,KOOKMIN
467963,SAMSUNG
468908,SAMSUNG
468911,SAMSUNG
468952,SAMSUNG
469536,HYUNDAI
469537,HYUNDAI
470399,SAMSUNG
470547,SAMSUNG
470587,SAMSUNG
470588,SAMSUNG
470630,KOOKMIN
470631,KOOKMIN
472175,SHINHAN
472200,SHINHAN
472246,SHINHAN
472263,SHINHAN
472264,SHINHAN
472429,SHINHAN
473844,SAMSUNG
473853,KOOKMIN
473867,SAMSUNG
474289,SAMSUNG
474290,SAMSUNG
474523,KOOKMIN
476020,SAMSUNG
476021,SAMSUNG
476063,SHINHAN
477065,HYUNDAI
477570,HYUNDAI
477949,HYUNDAI
478892,SHINHAN
479588,SAMSUNG
480434,SHINHAN
480444,KOOKMIN
483578,SHINHAN
483792,SHINHAN
483793,SHINHAN
484087,SAMSUNG
484809,SHINHAN
486058,HYUNDAI
486467,SAMSUNG
486468,SAMSUNG
487033,SHINHAN
489016,HYUNDAI
489023,SHINHAN
490298,SHINHAN
491217,WOORI
491218,WOORI
493163,SHINHAN
502123,KOOKMIN
510003,SAMSUNG
510315,HYUNDAI
510737,SHINHAN
511187,SHINHAN
512028,SAMSUNG
512085,SHINHAN
512114,HYUNDAI
512351,HYUNDAI
512352,HYUNDAI
512353,HYUNDAI
512354,HYUNDAI
512355,HYUNDAI
512359,HYUNDAI
512365,SAMSUNG
512609,HYUNDAI
512647,HYUNDAI
512830,SHINHAN
513243,SHINHAN
514557,KOOKMIN
514645,HYUNDAI
515197,SHINHAN
515594,SHINHAN
516453,KOOKMIN
516526,HYUNDAI
516546,HYUNDAI
517067,HYUNDAI
517134,SHINHAN
517332,KOOKMIN
517364,KOOKMIN
517575,KOOKMIN
517662,SAMSUNG
517827,SAMSUNG
518140,HYUNDAI
518171,SHINHAN
518432,SHINHAN
518831,SAMSUNG
518928,HYUNDAI
518929,HYUNDAI
518930,HYUNDAI
519303,SHINHAN
519635,SHINHAN
520025,SAMSUNG
520172,KOOKMIN
520421,HYUNDAI
520422,HYUNDAI
520504,KOOKMIN
521135,KOOKMIN
521189,SHINHAN
522108,KOOKMIN
522109,KOOKMIN
522111,HYUNDAI
522112,HYUNDAI
522114,HYUNDAI
522115,HYUNDAI
522119,HYUNDAI
522123,HYUNDAI
522124,HYUNDAI
522125,HYUNDAI
522129,HYUNDAI
522447,SHINHAN
522802,KOOKMIN
522855,SAMSUNG
522894,SAMSUNG
522971,KOOKMIN
523521,SHINHAN
523612,KOOKMIN
523930,HYUNDAI
524012,HYUNDAI
524013,HYUNDAI
524015,HYUNDAI
524019,HYUNDAI
524021,HYUNDAI
524022,HYUNDAI
524023,HYUNDAI
524024,HYUNDAI
524025,HYUNDAI
524028,KOOKMIN
524029,HYUNDAI
524041,HYUNDAI
524333,HYUNDAI
524603,SHINHAN
524713,HYUNDAI
525316,KOOKMIN
525783,SAMSUNG
525982,KOOKMIN
526373,SHINHAN
527182,SHINHAN
527257,SAMSUNG
527289,KOOKMIN
527731,SHINHAN
528054,HYUNDAI
528274,HYUNDAI
528638,SHINHAN
528815,HYUNDAI
528936,WOORI
528949,HYUNDAI
528951,HYUNDAI
529269,SHINHAN
529899,SAMSUNG
529942,HYUNDAI
530369,SHINHAN
531070,SAMSUNG
531072,SAMSUNG
531080,SAMSUNG
531082,SAMSUNG
531085,SAMSUNG
531088,SAMSUNG
531408,SHINHAN
532105,SHINHAN
532188,HYUNDAI
532296,HYUNDAI
532707,SAMSUNG
532793,HYUNDAI
532913,SHINHAN
533774,KOOKMIN
535180,SHINHAN
536125,SAMSUNG
536142,SAMSUNG
536148,SAMSUNG
536181,SAMSUNG
536326,KOOKMIN
536460,SHINHAN
536510,KOOKMIN
536617,SAMSUNG
536624,KOOKMIN
536648,SAMSUNG
537692,HYUNDAI
537943,SHINHAN
540447,SAMSUNG
540486,SHINHAN
540528,HYUNDAI
540537,SAMSUNG
540926,KOOKMIN
540929,KOOKMIN
540935,KOOKMIN
540936,KOOKMIN
540947,KOOKMIN
540988,KOOKMIN
541145,SAMSUNG
541259,HYUNDAI
541468,KOOKMIN
542158,SHINHAN
542184,SAMSUNG
542265,SHINHAN
542879,SHINHAN
543333,HYUNDAI
543341,HYUNDAI
544004,SHINHAN
544082,SAMSUNG
544167,HYUNDAI
544203,HYUNDAI
544689,HYUNDAI
545089,SAMSUNG
546596,SAMSUNG
547227,HYUNDAI
547671,SHINHAN
548750,HYUNDAI
548811,SAMSUNG
548816,SAMSUNG
548818,SAMSUNG
548841,SHINHAN
548870,HYUNDAI
549153,HYUNDAI
549155,HYUNDAI
549509,HYUNDAI
549840,SHINHAN
550000,HYUNDAI
550347,HYUNDAI
550744,SHINHAN
552014,SAMSUNG
552051,HYUNDAI
552052,HYUNDAI
552087,SHINHAN
552114,SAMSUNG
552164,HYUNDAI
552194,SAMSUNG
552290,HYUNDAI
552376,HYUNDAI
552377,HYUNDAI
552441,HYUNDAI
552445,HYUNDAI
552537,SHINHAN
552576,SHINHAN
553142,HYUNDAI
553144,SHINHAN
553146,SHINHAN
553147,SAMSUNG
553150,HYUNDAI
553151,KOOKMIN
553152,SHINHAN
553176,SAMSUNG
553406,HYUNDAI
553423,HYUNDAI
554345,KOOKMIN
554346,KOOKMIN
554349,KOOKMIN
554382,KOOKMIN
554481,SHINHAN
554648,KOOKMIN
554959,KOOKMIN
554963,KOOKMIN
554973,KOOKMIN
555023,SAMSUNG
555231,KOOKMIN
555511,SAMSUNG
557042,KOOKMIN
557712,KOOKMIN
557811,KOOKMIN
558370,SHINHAN
558526,KOOKMIN
558735,HYUNDAI
558749,SAMSUNG
558768,SHINHAN
558813,HYUNDAI
558817,HYUNDAI
558875,HYUNDAI
558885,SHINHAN
558915,HYUNDAI
558950,SHINHAN
558953,SAMSUNG
558970,HYUNDAI
558971,HYUNDAI
558972,HYUNDAI
558978,SAMSUNG
559293,HYUNDAI
559410,SHINHAN
559869,KOOKMIN
559913,HYUNDAI
559924,HYUNDAI
606045,SHINHAN
623024,SHINHAN
623329,SHINHAN
623374,KOOKMIN
623489,KOOKMIN
624331,SHINHAN
624332,SHINHAN
624334,WOORI
624339,SHINHAN
624343,WOORI
624348,SHINHAN
624358,KOOKMIN
624368,HYUNDAI
624370,KOOKMIN
624376,HYUNDAI
624377,HYUNDAI
624378,HYUNDAI
624399,SAMSUNG
624400,SAMSUNG
624401,SAMSUNG
624404,WOORI
624410,SAMSUNG
624411,SAMSUNG
624432,SHINHAN
624434,KOOKMIN
624440,SAMSUNG
624441,SAMSUNG
624442,SAMSUNG
624443,SAMSUNG
624444,SAMSUNG
624462,KOOKMIN
624479,SHINHAN
624480,SHINHAN
625804,KOOKMIN
625814,SAMSUNG
625817,SAMSUNG
625840,SHINHAN
625841,SHINHAN
626222,SAMSUNG
626402,KOOKMIN
639650,SAMSUNG
700013,SAMSUNG
834000,KOOKMIN
834024,KOOKMIN
834026,KOOKMIN
941002,SAMSUNG
941004,SAMSUNG
941009,SAMSUNG
941010,SAMSUNG
941013,SHINHAN
941014,SHINHAN
941015,SHINHAN
941017,SHINHAN
941018,SHINHAN
941019,SHINHAN
941026,SAMSUNG
941028,SAMSUNG
941029,SAMSUNG
941030,SAMSUNG
941034,SAMSUNG
941035,SAMSUNG
941037,SAMSUNG
941038,SAMSUNG
941044,KOOKMIN
941049,KOOKMIN
941059,SAMSUNG
941061,SHINHAN
941062,SHINHAN
941063,SHINHAN
941064,SHINHAN
941066,SHINHAN
941067,SHINHAN
941068,SHINHAN
941069,SHINHAN
941073,SHINHAN
941074,SHINHAN
941075,SHINHAN
941076,SHINHAN
941080,SHINHAN
941081,SHINHAN
941082,SHINHAN
941083,SHINHAN
941084,SHINHAN
941085,SAMSUNG
941086,SHINHAN
941087,SAMSUNG
941088,SAMSUNG
941089,SAMSUNG
941090,SAMSUNG
941091,SAMSUNG
941092,SAMSUNG
941093,SAMSUNG
941094,SAMSUNG
941096,SHINHAN
941097,SHINHAN
941098,SHINHAN
941099,SHINHAN
941111,SHINHAN
941112,SHINHAN
941122,SHINHAN
941161,SHINHAN
941177,SHINHAN
941178,SHINHAN
941179,SHINHAN
941180,SHINHAN
941183,SHINHAN
941184,SHINHAN
941185,SHINHAN
941186,SHINHAN
941187,SHINHAN
941188,SHINHAN
941189,SHINHAN
941190,SHINHAN
941191,SHINHAN
941194,SHINHAN
941195,SHINHAN
942061,SHINHAN
942062,SHINHAN
942063,SHINHAN
942064,SHINHAN
942065,SHINHAN
942069,SHINHAN
942070,SHINHAN
942072,SHINHAN
942073,SHINHAN
942074,SHINHAN
942075,SHINHAN
942076,SHINHAN
942077,SHINHAN
942082,SAMSUNG
942083,SAMSUNG
942084,SAMSUNG
942085,SAMSUNG
942086,SAMSUNG
942087,SAMSUNG
942088,SAMSUNG
942089,SAMSUNG
942090,SAMSUNG
942091,SAMSUNG
942092,SAMSUNG
942093,SAMSUNG
942094,SAMSUNG
942095,SAMSUNG
942096,SAMSUNG
942099,SAMSUNG
942101,SAMSUNG
942102,SAMSUNG
942103,SAMSUNG
942104,SAMSUNG
942105,SAMSUNG
942106,SAMSUNG
942107,SAMSUNG
943133,HYUNDAI
943134,HYUNDAI
943135,HYUNDAI
943136,HYUNDAI
943137,HYUNDAI
943138,HYUNDAI
943139,HYUNDAI
943140,HYUNDAI
943141,HYUNDAI
943142,HYUNDAI
943143,HYUNDAI
943144,HYUNDAI
943145,HYUNDAI
943146,HYUNDAI
943147,HYUNDAI
943148,HYUNDAI
943149,HYUNDAI
943151,HYUNDAI
943152,HYUNDAI
943153,HYUNDAI
943154,HYUNDAI
943155,HYUNDAI
943156,HYUNDAI
943157,HYUNDAI
943158,HYUNDAI
943159,HYUNDAI
943160,HYUNDAI
943161,HYUNDAI
943541,KOOKMIN
943542,KOOKMIN
943543,KOOKMIN
943544,KOOKMIN
943645,KOOKMIN
943646,KOOKMIN
943647,KOOKMIN
943648,KOOKMIN
943649,KOOKMIN
943651,KOOKMIN
943661,KOOKMIN
943666,KOOKMIN
943714,KOOKMIN
943727,KOOKMIN
944018,KOOKMIN
944044,KOOKMIN
944144,KOOKMIN
944541,KOOKMIN
944542,KOOKMIN
944543,KOOKMIN
944545,KOOKMIN
944546,KOOKMIN
944547,KOOKMIN
944548,KOOKMIN
944549,KOOKMIN
944550,KOOKMIN
944551,KOOKMIN
944552,KOOKMIN
944554,KOOKMIN
944555,KOOKMIN
944561,KOOKMIN
945161,SHINHAN
945162,SHINHAN
945511,SHINHAN
945810,SHINHAN
945811,SHINHAN
945812,SHINHAN
945813,SHINHAN
945814,SHINHAN
945815,SHINHAN
945816,SHINHAN
945817,SHINHAN
945818,SHINHAN
945819,SHINHAN
945820,SHINHAN
945821,SHINHAN
945822,SHINHAN
945823,SHINHAN
945824,SHINHAN
945825,SHINHAN
946044,KOOKMIN
948521,HYUNDAI
948817,HYUNDAI
949001,HYUNDAI
949002,HYUNDAI
949003,HYUNDAI
949004,HYUNDAI
949005,HYUNDAI
949008,HYUNDAI
949009,HYUNDAI
949010,HYUNDAI
949011,HYUNDAI
949012,HYUNDAI
949013,HYUNDAI
949014,HYUNDAI
949015,HYUNDAI
949016,HYUNDAI
949017,HYUNDAI
949018,HYUNDAI
949019,HYUNDAI
949020,HYUNDAI
949021,HYUNDAI
949022,HYUNDAI
949023,HYUNDAI
949024,HYUNDAI
949025,HYUNDAI
949026,HYUNDAI
949027,HYUNDAI
949028,HYUNDAI
949029,HYUNDAI
949032,HYUNDAI
949033,HYUNDAI
949034,HYUNDAI
949035,HYUNDAI
949036,HYUNDAI
949037,HYUNDAI
949038,HYUNDAI
949039,HYUNDAI
949040,HYUNDAI
949041,HYUNDAI
949042,HYUNDAI
949043,HYUNDAI
949044,HYUNDAI
949045,HYUNDAI
949046,HYUNDAI
949047,HYUNDAI
949050,HYUNDAI
949051,HYUNDAI
949052,HYUNDAI
949053,HYUNDAI
949054,HYUNDAI
949055,HYUNDAI
949056,HYUNDAI
949057,HYUNDAI
949058,HYUNDAI
949059,HYUNDAI
949060,HYUNDAI
949061,HYUNDAI
949062,HYUNDAI
949063,HYUNDAI
949064,HYUNDAI
949065,HYUNDAI
949066,HYUNDAI
949067,HYUNDAI
949069,HYUNDAI
949070,HYUNDAI
949077,HYUNDAI
949078,HYUNDAI
949079,HYUNDAI
949084,HYUNDAI
949085,HYUNDAI
949086,HYUNDAI
949087,HYUNDAI
949088,HYUNDAI
949089,HYUNDAI
949090,KOOKMIN
949091,KOOKMIN
949092,KOOKMIN
949093,KOOKMIN
949094,KOOKMIN
949095,KOOKMIN
949096,KOOKMIN
949097,HYUNDAI
949098,KOOKMIN
949099,KOOKMIN
949100,KOOKMIN
949101,KOOKMIN
949102,KOOKMIN
949103,KOOKMIN
949104,KOOKMIN
949105,KOOKMIN
949107,KOOKMIN
949108,KOOKMIN
949110,KOOKMIN
949112,KOOKMIN
949113,KOOKMIN
949120,KOOKMIN
949121,KOOKMIN
949122,KOOKMIN
949123,KOOKMIN
949124,KOOKMIN
949125,KOOKMIN
949126,KOOKMIN
949127,KOOKMIN
949128,KOOKMIN
949129,KOOKMIN
949130,KOOKMIN
949132,KOOKMIN
949133,KOOKMIN
949134,KOOKMIN
949135,KOOKMIN
949136,KOOKMIN
949137,KOOKMIN
951001,HYUNDAI
951002,HYUNDAI
971000,SAMSUNG
971001,SAMSUNG
971002,SAMSUNG
971010,SAMSUNG
972000,SAMSUNG
999999,SHINHAN
341122,HYUNDAI
341348,HYUNDAI
405691,HYUNDAI
411026,KOOKMIN
45790600,SAMSUNG
45992700,HYUNDAI
470349,KOOKMIN
486230,HYUNDAI
49060900,HYUNDAI
49061000,HYUNDAI
49061300,HYUNDAI
492752,HYUNDAI
493020,HYUNDAI
493046,HYUNDAI
49410300,HYUNDAI
49876100,KOOKMIN
513739,HYUNDAI
520215,HYUNDAI
520217,HYUNDAI
52095789,KOOKMIN
521826,SHINHAN
523040,HYUNDAI
524283,SAMSUNG
525872,HYUNDAI
557162,KOOKMIN
941192,SHINHAN
944556,KOOKMIN
41402100,HYUNDAI
43368900,HYUNDAI
44044700,HYUNDAI
45992800,HYUNDAI
45992900,HYUNDAI
479021,KOOKMIN
943163,HYUNDAI
943164,HYUNDAI
943165,HYUNDAI
943166,HYUNDAI
943748,KOOKMIN
949131,KOOKMIN
971003,SAMSUNG
356653,SHINHAN
37954101,KOOKMIN
37954102,KOOKMIN
418510,SHINHAN
421810,HYUNDAI
421923,HYUNDAI
44044800,KOOKMIN
479016,HYUNDAI
48007400,HYUNDAI
48007412,HYUNDAI
48007413,HYUNDAI
48007429,HYUNDAI
527585,WOORI
531764,WOORI
533909,WOORI
536548,WOORI
53665281,KOOKMIN
53665293,KOOKMIN
537699,WOORI
538733,WOORI
538941,WOORI
943667,KOOKMIN
944557,KOOKMIN
944558,KOOKMIN
944560,KOOKMIN
950001,WOORI
950002,WOORI
950005,WOORI
950061,WOORI
950062,WOORI
952001,WOORI
952061,WOORI
971004,SAMSUNG
341123,HYUNDAI
341124,HYUNDAI
35677500,WOORI
37466405,HYUNDAI
37466406,HYUNDAI
37466407,HYUNDAI
37764901,HYUNDAI
40067200,HYUNDAI
43116400,HYUNDAI
490705,KOOKMIN
513391,HYUNDAI
514299,HYUNDAI
529127,WOORI
537148,WOORI
942013,SHINHAN
943167,HYUNDAI
943168,HYUNDAI
949138,KOOKMIN
949139,KOOKMIN
950004,WOORI
950022,WOORI
952002,WOORI
958001,WOORI
432706,WOORI
464996,WOORI
467856,WOORI
467914,WOORI
46890800,HYUNDAI
46891300,HYUNDAI
469369,WOORI
47602100,HYUNDAI
483533,WOORI
490275,WOORI
530569,WOORI
534351,WOORI
658010,WOORI
941071,SHINHAN
943169,HYUNDAI
943170,HYUNDAI
943173,HYUNDAI
943668,KOOKMIN
946045,KOOKMIN
949596,SHINHAN
952010,WOORI
971011,SAMSUNG
37030005,HYUNDAI
37030006,HYUNDAI
37030007,HYUNDAI
37764902,HYUNDAI
37764903,HYUNDAI
37764904,HYUNDAI
37764905,HYUNDAI
37764906,HYUNDAI
40287800,SHINHAN
40759000,SAMSUNG
433160,HYUNDAI
44810800,HYUNDAI
44813901,HYUNDAI
45605800,HYUNDAI
46172300,SHINHAN
46402200,HYUNDAI
466518,SHINHAN
47061800,SAMSUNG
49061400,HYUNDAI
528747,WOORI
531439,KOOKMIN
534188,WOORI
540646,WOORI
540696,WOORI
543473,SHINHAN
943171,HYUNDAI
943172,HYUNDAI
944559,KOOKMIN
950023,WOORI
952014,WOORI
971012,SAMSUNG
461727,WOORI
464940,WOORI
52095715,KOOKMIN
52095787,KOOKMIN
532758,WOORI
537375,WOORI
541220,WOORI
543349,KOOKMIN
543981,KOOKMIN
553942,SHINHAN
949140,KOOKMIN
950024,WOORI
950025,WOORI
952015,WOORI
971005,SAMSUNG
37030008,HYUNDAI
37030009,HYUNDAI
37030010,HYUNDAI
37764907,HYUNDAI
37764908,HYUNDAI
37764909,HYUNDAI
37764910,HYUNDAI
44482700,HYUNDAI
45532100,HYUNDAI
46890910,SAMSUNG
46890920,SAMSUNG
46890990,SAMSUNG
46891200,HYUNDAI
46891400,HYUNDAI
47552100,HYUNDAI
49060901,HYUNDAI
498890,HYUNDAI
499935,HYUNDAI
52472700,HYUNDAI
52472701,HYUNDAI
52472718,HYUNDAI
52472738,HYUNDAI
52472752,HYUNDAI
52472799,HYUNDAI
550849,KOOKMIN
605601,WOORI
941070,SHINHAN
943175,HYUNDAI
943176,HYUNDAI
943177,HYUNDAI
943178,HYUNDAI
943179,HYUNDAI
943180,HYUNDAI
943182,HYUNDAI
943183,HYUNDAI
943184,HYUNDAI
943185,HYUNDAI
943669,KOOKMIN
944562,KOOKMIN
971006,SAMSUNG
373042,SHINHAN
373043,SHINHAN
37764911,HYUNDAI
421565,KOOKMIN
42649600,HYUNDAI
42649900,HYUNDAI
42718200,HYUNDAI
44409000,HYUNDAI
510296,WOORI
51770980,SAMSUNG
52737550,HYUNDAI
52741900,SAMSUNG
530863,WOORI
543621,WOORI
54492305,HYUNDAI
547149,WOORI
